Qual o nome do órgão em que você trabalha?;órgão;Qual o seu cargo?;Cargo_Cat;Município;COD_UF;UF;Estado;Qual a sua ocupação?;Quais são as suas dúvidas em relação à LPG?;Quais são as suas dúvidas em relação à PNAB?
Departamento de cultura;Diretoria de Cultura;Diretor de departamento de cultura;Diretor;Boquim;28;SE;SERGIPE;Servidor da Pasta de Cultura;Saber um pouco mais sobre prestação de contas;Saber um pouco mais sobre o PAA
Secretário de cultura municipal de carmopolis;Secretaria Municipal de Cultura;Diretora de eventos;Diretor;Carmopolis;28;SE;SERGIPE;Servidor da Pasta de Cultura;No momento nem uma;Na reforma do prédio público tem que fazer edital ou pregão?
Secretaria de Finanças;Secretaria Municipal de Finanças;Diretor de Tributos;Diretor;Pedrinhas;28;SE;SERGIPE;Consultor;"Como procederá a prestação de contas.

Os agentes culturais contemplados no edital do audiovisual necessitará anexar notas fiscais como comprovante na execução de sua contrapartida?";Existe um calendário em que informe as etapas e prazos?
SECRETARIA DE GABINETE PREF DE GRACCHO CARDOSO;Prefeitura;SECRETÁRIO MUNICIPAL DE GABINETE;Secretário;GRACCHO CARDOSO;28;SE;SERGIPE;Gestor da Pasta de Cultura;Buscar mais informações sobre sua execucao;Buscar mais informações sobre sua execucao
Secult;Secretaria Municipal de Cultura;Coordenadora de Cultura;Coordenador;CARMOPOLIS;28;SE;SERGIPE;Gestor da Pasta de Cultura;Não tenho duvidas;"Sobre a questão dos subsídios valores destinados são de 3 a 10 mil
Esse valor é mensal que pode ser repassado por age tes culturais? Ou só.ppde repassar mesmo.que seja mensal o valor de até 10 mil
Ex: um grupo cultural pode receber 3 meses de 10mil ou somente 10mil no total?"
Estratégia Consultoria;Empresa;Assessor Técnico;Assessor;Aracaju;28;SE;SERGIPE;Consultor;.;"No caso de obras/reformas de espaços culturais públicos o ente precisa apresentar algum documento que comprove ser da posse dele aquele ambiente?

Com relação à infraestrutura para a realização de exposições, festivais, feiras etc; ações estas possíveis no item de fomento, de quem é a responsabilidade?

Há previsão da disponibilidade dos modelos de editais?"
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Secretária Municipal;Secretário;Simão Dias;28;SE;SERGIPE;Gestor da Pasta de Cultura;Aplicação da LPG;Aplicação da PNAB
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Diretora;Diretor;Simão Dias;28;SE;SERGIPE;Servidor da Pasta de Cultura;Acerca da aplicação da LPG;Acerca da aplicação da PNAB
Departamento Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;coordenador;Coordenador;Cumbe;28;SE;SERGIPE;Servidor da Pasta de Cultura;No evento farei os questionamentos!;no evento farei os questionamentos!
Secretaria de educação departamento de Cultura e Turismo;Secretaria Municipal de Educação;Diretora de Cultura e Turismo;Diretor;Cedro de São João Sergipe;28;SE;SERGIPE;Gestor da Pasta de Cultura;Suas aplicabilidades;Quanto a aplicação dos recursos
Secretaria de Cultura;Secretaria Municipal de Cultura;Secretaria Adjunta de Cultura;Secretário;Barra dos Coqueiros;28;SE;SERGIPE;Gestor da Pasta de Cultura;Prazo adesão do sistema nacional de cultura.;Adequação orçamentária. PAAR.
Secretaria de Cultura, Turismo, Juventude, Esporte e Desenvolvimento Econômico;Secretaria Municipal de Cultura;Secretário;Secretário;CANHOBA;28;SE;SERGIPE;Gestor da Pasta de Cultura;No momento nenhum.;Sobre a execução do PNAB
Funcionário público da cultura e Empresa de elaboração de projetos culturais e esportivos Encher&Mear;Empresa;Sócio proprietário/ funcionario;Empresário;Porto da Folha;28;SE;SERGIPE;Consultor;Nenhuma;Referente a porcentagem das cotas
Secretaria de comunicação e cultura;Secretaria Municipal de Cultura;secretário adjunto;Secretário;Japaratuba;28;SE;SERGIPE;Gestor da Pasta de Cultura;todas possiveis;todas possíveis
Secretaria municipal de cultura e turismo;Secretaria Municipal de Cultura;Assessor;Assessor;Porto da Folha;28;SE;SERGIPE;Servidor da Pasta de Cultura;Prestação de contas;Paa
Secretaria de cultura;Secretaria Municipal de Cultura;Diretora;Diretor;Nossa senhora das dores;28;SE;SERGIPE;Servidor da Pasta de Cultura;Ok;Ok
Prefeitura Municipal de Nossa Senhora da Glória;Prefeitura;Diretora do Departamento de Cultura;Diretor;Nossa Senhora da Glória;28;SE;SERGIPE;Gestor da Pasta de Cultura;Não tenho dúvida;Não tenho dúvida
SECRETARIA MUNICIPAL DE EDUCAÇÃO E CULTURA;Secretaria Municipal de Educação;DIRETOR DE CULTURA;Diretor;TELHA;28;SE;SERGIPE;Gestor da Pasta de Cultura;TODAS;TODAS
Secretaria Municipal de Cultura, Esporte e Juventude;Secretaria Municipal de Cultura;Acessor Técnico;Assessor;Propriá;28;SE;SERGIPE;Servidor da Pasta de Cultura;Nenhuma;Prazo de transferência dos recursos
Departamento de Cultura;Diretoria de Cultura;Assessor de Cultura;Assessor;Nossa Senhora da Glória;28;SE;SERGIPE;Servidor da Pasta de Cultura;Quais documentos impedem a inscrição do artista;Como será feita a prestação de contas do artista? Qual diferencial da LPG X PNAB?
FUNCAP;Fundação;ASSESSORIA TÉCNICA;Assessor;ARACAJU;28;SE;SERGIPE;Servidor da Pasta de Cultura;EXECUÇÃO DE RECURSOS E PRESTAÇÃO DE CONTAS;PAAR, EDITAIS, REPASSE, EXECUÇÃO, PRESTAÇÃO DE CONTAS
Secretaria de cultura Dores;Secretaria Municipal de Cultura;Diretora;Diretor;Nossa senhora das Dores;28;SE;SERGIPE;Servidor da Pasta de Cultura;Ok;Execução
FUNCAP/SE;Fundação;Diretor de Políticas Pública da Cultura;Diretor;ARACAJU;28;SE;SERGIPE;Servidor da Pasta de Cultura;Utilização dos valores dos repasses agregados por força de aplicação financeiro. (novo edital ?);Possibilidade de prorrogação do prazo ref. a 31 de maio ?
Fundação Cultural Cidade de Aracaju;Fundação;Coordenador;Coordenador;Aracaju;28;SE;SERGIPE;Servidor da Pasta de Cultura;Contratações de Consultoria.;Elaboração do PAAR
Funcap-SE;Fundação;Diretoria de Cultura;Diretor;Aracaju;28;SE;SERGIPE;Servidor da Pasta de Cultura;Pagamentos, prestação de contas e atualizações;Planejamento para a aplicação da Aldir Blanc II
Fundação Municipal de Cultura e Turismo 'João Bebe Água';Fundação;Assessor Administrativo;Assessor;São Cristóvão;28;SE;SERGIPE;Servidor da Pasta de Cultura;Não há.;Serão pensadas para serem explanadas no dia da atividade.
Funcap;Fundação;Assessora técnica da diretoria de cultura;Assessor;Aracaju;28;SE;SERGIPE;Servidor da Pasta de Cultura;.;Todas.
SECRETARIA MUNICIPAL DE CULTURA E TURISMO;Secretaria Municipal de Cultura;ASSESSORA;Assessor;SIMÃO DIAS;28;SE;SERGIPE;Servidor da Pasta de Cultura;CONTRAPARTIDAS;CADASTRO E EXECUÇÃO
Alto Sertão;Sociedade Civil;Diretor de Cultura;Diretor;Gararu;28;SE;SERGIPE;Servidor da Pasta de Cultura;Prazo para conclusão da prestação de contas;Os principais passos para a utilização dos recursos
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretário;Secretário;Propriá;28;SE;SERGIPE;Gestor da Pasta de Cultura;Prestação de contas.;Execução.
Departamento de Cultura;Diretoria de Cultura;Diretor de Cultura;Diretor;Canindé de São Francisco;28;SE;SERGIPE;Gestor da Pasta de Cultura;Seria importante ser disponibilizados modelos para os recursos que sobraram para em formato de premiação para agentes culturais já idosos e que tiveram e ainda tem grande relevância cultural para os municípios.;Ainda não está na plataforma do Gov/PNAB os modelos de editais. Importante colocar o quanto antes para que seja utilizada como modelos para as oito às com os fazedores de cultura.
Secretaria municipal de cultura;Secretaria Municipal de Cultura;Diretor;Diretor;Santo Amaro das Brotas;28;SE;SERGIPE;Servidor da Pasta de Cultura;Prestação de contas;Editais de fomento a cultura
Secretaria municipal de cultura, turismo e juventude;Secretaria Municipal de Cultura;Secretaria municipal;Secretário;Santo Amaro Das Brotas;28;SE;SERGIPE;Gestor da Pasta de Cultura;Nenhuma.;"Quais as exigências para que os municípios se mantenham todos os 05 anos na PNAB?

Como transformar em Lei Municipal todas as exigências que garantirão o SNC permanente no município?"
Departamento municipal de cultura;Diretoria de Cultura;Diretora do departamento municipal de cultura;Diretor;Poço Verde;28;SE;SERGIPE;Gestor da Pasta de Cultura;Execução das contrapartidas;Execução das contrapartidas e inscrições
Prefeitura Municipal de Estância;Prefeitura;Secretaria de Cultura e Turismo;Secretário;ESTÂNCIA;28;SE;SERGIPE;Gestor da Pasta de Cultura;É POSSÍVEL EXECUTAR ATÉ 2025;Caso não possua o fundo municipal da cultura, impede de receber?
Secretaria de Cultura e Turismo;Secretaria Municipal de Cultura;Secretário;Secretário;Neópolis;28;SE;SERGIPE;Gestor da Pasta de Cultura;Sobre envio de relatório, se haverá modelo é para onde enviar.;Se precisa esmiuçar as ações na hora do preenchimento do formulário PAAR
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Técnico;Técnico;Lagarto;28;SE;SERGIPE;Servidor da Pasta de Cultura;Sobre trabalhar o restante do saldo que sobrou dos editais anteriores;Sobre se é totalmente uso para atividade com artistas ou para promoção das atividades culturais?
Escritório do MinC Sergipe;Ministério da Cultura;Servidor;Secretário;Aracaju;28;SE;SERGIPE;Servidor da Pasta de Cultura;Como será a prestação de contas da LPG;É possível utilizar os recursos da PNAB em obras de prédios públicos?
Ministério da Cultura;Ministério da Cultura;Servidora do Escritório Estadual de Sergipe;Indefinido;Aracaju;28;SE;SERGIPE;Servidor da Pasta de Cultura;Nenhuma, no momento;Nenhuma, no momento.
Escritório Sergipe;Ministério da Cultura;servidora;Indefinido;Aracaju;28;SE;SERGIPE;Servidor da Pasta de Cultura;Prefiro formular após o encontro;Prefiro formular após o encontro
Prefeitura Municipal de Silvanópolis;Prefeitura;Secretario Municipal de Cultura e Turismo;Secretário;Silvanópolis;17;TO;TOCANTINS;Gestor da Pasta de Cultura;Nem uma;Soba falta de modelos de editais
Secretária municipal de educação e cultura;Secretaria Municipal de Educação;Diretor de Cultura e Turismo;Diretor;ANANÁS;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Editais;Edital
Diretoria Municipal de Cultura;Diretoria de Cultura;Diretora de Cultura;Diretor;São Sebastião do Tocantins;17;TO;TOCANTINS;Gestor da Pasta de Cultura;Sem dúvidas no momento.;"Podemos realizar editais com o recurso que o município recebeu em 2020 e está  aplicado? 

Temos que realizar o PAAR, tendo como recurso apenas o que foi pago em 2020?"
Secretaria de esportes, juventude e cultura;Secretaria Municipal de Cultura;Professora;Técnico;Barrolandia;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Prestação de contas;Será prêmio? Ou será áudio visual?
SEC DE JUVENTUDE CULTURA E ESPORTE;Secretaria Municipal de Cultura;SECRETARIA EXECUTIVA DE JUVENTUDE;Secretário;BREJINHO DE NAZARÉ;17;TO;TOCANTINS;Servidor da Pasta de Cultura;SOBRE OS RENDIMENTOS, DA CONTA TENHO Q DEVOLVER POR ESTADO?;TODAS
Prefeitura Muncipal;Prefeitura;Acessora  de Cultura e Turismo;Assessor;Chapada da Natividade;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Não!;Não
Prefeitura municipal;Prefeitura;Secretário de Cultura;Secretário;Darcinopolis;17;TO;TOCANTINS;Gestor da Pasta de Cultura;Como finalizar o benefício sendo que ainda tenho um pouco do recurso!!!;Como dar início na distribuição do recurso no meu município!!
Prefeitura Muncipal;Prefeitura;Acessora  de Cultura e Turismo;Assessor;Chapada da Natividade;17;TO;TOCANTINS;Agente Cultural;Nenhuma no momento!;Quem pode participar!
Secretaria Municipal de Cultura - Arraias-TO.;Secretaria Municipal de Cultura;Consultora;Consultor;Arraias;17;TO;TOCANTINS;Consultor;Pretendendo sanar na reunião  conforme discussão.;Pretendendo sanar na reunião  conforme discussão.
Prefeitura Muncipal;Prefeitura;Secretária de Cultura Desporto e Turismo;Secretário;Chapada da Natividade;17;TO;TOCANTINS;Gestor da Pasta de Cultura;No momento nenhuma!;qual o final da prestação de conta!
Secretaria Municipal de Cultura e Turismo;Secretaria Municipal de Cultura;Secretária;Secretário;Arraias;17;TO;TOCANTINS;Gestor da Pasta de Cultura;"Utilização dos recursos 
Elaboração de editais
Distribuição dos recursos";"Utilização dos recursos 
Elaboração de editais
Distribuição dos recursos"
Prefeitura municipal;Prefeitura;Coordenador da Cultura;Coordenador;Pugmil;17;TO;TOCANTINS;Gestor da Pasta de Cultura;Já saiu o recurso da lpg;Porq e tão difícil lidar com pnab
Coordenação Municipal de Cultura;Diretoria de Cultura;Coordenação de Cultura e Arte;Coordenador;Aparecida do Rio Negro;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Diversas;Organização de edital e outras
SEMATUC;Secretaria Municipal de Cultura;Estagiária;Estagiária;Dianópolis;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Maioria relacionado a gerenciamento do fundo e dos valores anuais em que setor pode ser usado;Nenhuma dúvida
SEMATUC;Secretaria Municipal de Cultura;Estagiária;Estagiária;Dianópolis;17;TO;TOCANTINS;Gestor da Pasta de Cultura;Grande parte sobre o Fundo municipal de cultura sobre a manutenção e prestação de contas;Nada por enquanto
Secretaria de cultura;Secretaria Municipal de Cultura;Diretor de cultura;Diretor;Novo Acordo;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Como executar;Geral
Secretaria Municipal de Esporte e Cultura;Secretaria Municipal de Cultura;Coordenador de Cultura;Coordenador;Babaçulândia;17;TO;TOCANTINS;Gestor da Pasta de Cultura;Várias;Várias
Secretaria de Esporte Cultura e Lazer;Secretaria Municipal de Cultura;Secretário;Secretário;Araguaína;17;TO;TOCANTINS;Gestor da Pasta de Cultura;"Informações gerais sobre incidência de IR
Utilização da verba de formação e despesas administrativa 5%";"Cultura Viva
e Formação de Editais"
Secretaria municipal de cultura e turismo;Secretaria Municipal de Cultura;Turismóloga;Técnico;Peixe;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Aplicação do recurso;Elaboração do PAAR
Secretaria Municipal de Meio Ambiente, Cultura e Turismo de Paraíso do Tocantins;Secretaria Municipal de Cultura;Diretor de Cultura;Diretor;Paraíso do Tocantins;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Como será o relatório do fiscal?;Como funcionará o financiamento para empresas da área cultural?
Secretaria de Esporte, Lazer, Cultura e Turismo;Secretaria Municipal de Cultura;Secretário;Secretário;Presidente Kennedy;17;TO;TOCANTINS;Gestor da Pasta de Cultura;Sou principiante;Sou principiante
Semactur;Secretaria Municipal de Cultura;Coordenadora;Coordenador;Paraíso do Tocantins;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Sobre as prestações de contas.;Como vai funcionar o auxílio empresas culturais
Prefeitura municipal de Peixe;Prefeitura;Secretária de cultura e turismo;Secretário;Peixe;17;TO;TOCANTINS;Gestor da Pasta de Cultura;Está tranquilo quanto a lei;Elaboração do Plano
Sec. de Educação, Cultura e Assuntos Indígenas;Secretaria Municipal de Educação;Coordenador de Cultura;Coordenador;Formoso do Araguaia;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Sobre os processos internos de captação de recursos e adesão.;Sobre os processos internos de captação de recursos e adesão.
SECRETARIA DE CULTURA MUNICIPAL;Secretaria Municipal de Cultura;AGENTE DE CULTURA;Agente Cultural;FORMOSO DO ARAGUAIA;17;TO;TOCANTINS;Agente Cultural;Sem questionamentos.;Sem questionamentos.
Secretaria de Educação e Cultura;Secretaria Municipal de Educação;Diretor de Cultura;Diretor;Buriti do Tocantins;17;TO;TOCANTINS;Servidor da Pasta de Cultura;Após a aprovação dos projetos, quais os próximos passos?;Quem pode concorrer? Para onde essa verba pode se destinada? Pode ser usada na reforma da Biblioteca Municipal? Construção de uma Casa da Cultura?
SECRETARIA DE EDUCAÇAOA E CULTUTA;Secretaria Municipal de Educação;AUX. ADMINISTRATIVO;Auxiliar;BURITI;17;TO;TOCANTINS;Servidor da Pasta de Cultura;"01- SE O ARTISTA FOR CONTRATADO DA EDUCAÇAO ELE PODE CONCORRER ALGUM EDITAL?
02- O ARTISTA PODE QUANTOS PROJETOS?";01- SE O ARTISTA FOR CONTRATADO DA EDUCAÇAO ELE PODE CONCORRER ALGUM EDITAL?
